company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru;;
3M;3M;"intext:""3M"" AND (intext:""company"" OR intext:""compañía"" OR intext:""empresa"" OR intext:""firm"" OR intext:""firma"" OR intext:""negocio"" OR intext:""marca"" OR intext:""marcas"") -hogar -deporte -piscina";Si;No;Si;Si;Si;Si;Si;Si;;
3M;COMMAND;"intext:""COMMAND"" AROUND(3) intext:""3M""";Si;No;Si;Si;Si;Si;Si;Si;;
3M;POST-IT;"intext:""POST-IT"" OR intext:""POSTIT"" OR intext:""POST IT""";Si;No;Si;Si;Si;Si;Si;Si;;
3M;SCOTCH-BRITE;"intext:""SCOTCH-BRITE""";Si;No;Si;Si;Si;Si;Si;Si;;
3M;SCOTCH;"intext:""SCOTCH"" AND intext:""3M""";Si;No;Si;Si;Si;Si;Si;Si;;
3M;NEXCARE;"intext:""NEXCARE""";No;No;Si;Si;Si;Si;Si;Si;;
ADIDAS;ADIDAS;"intext:""ADIDAS""";Si;No;Si;Si;Si;No;Si;Si;;
ADIDAS;REEBOK;"intext:""REEBOK""";Si;No;Si;Si;Si;No;Si;Si;;
AGUAS ANDINAS;AGUAS ANDINAS;"intext:""AGUAS ANDINAS""";No;No;No;No;No;No;No;Si;;
AJINOMOTO;AJINOMOTO;"intext:""AJINOMOTO""";No;No;Si;No;No;No;No;Si;;
AJINOMOTO;AJI-NO-MOTO;"intext:""AJI-NO-MOTO""";No;No;Si;No;No;No;No;No;;
AJINOMOTO;AJINOMOTO DEL PERU;"intext:""AJINOMOTO DEL PERU""";No;No;No;No;No;No;No;Si;;
AMAZON;AMAZON;"intext:""AMAZON""";Si;No;Si;Si;Si;No;No;No;;
AMIL;AMIL;"intext:""AMIL""";No;No;Si;No;No;No;No;No;;
ANGLO AMERICAN;ANGLO AMERICAN;"intext:""ANGLO AMERICAN""";No;No;No;Si;No;No;No;Si;;
ANTOFAGASTA MINERALS;ANTOFAGASTA MINERALS;"intext:""ANTOFAGASTA MINERALS""";No;No;No;Si;No;No;No;Si;;
APPLE;APPLE;"intext:""APPLE"" AND (intext:""diet"" OR intext:""eat"") -""FRUTA"" -""FRUIT"" -harvest*";Si;No;Si;Si;Si;Si;Si;Si;;
ARAUCO;ARAUCO;"intext:""ARAUCO"" AND intext:""CELULOSA""";No;No;No;No;No;No;No;Si;;
ASTRAZENECA;ASTRAZENECA;"intext:""ASTRAZENECA""";No;No;No;No;No;No;Si;No;;
AT&T;AT&T;"intext:""AT&T""";No;No;No;No;No;No;Si;No;;
BANCO DE CHILE;BANCO DE CHILE;"intext:""BANCO DE CHILE""";No;No;No;No;No;No;No;Si;;
BANCO ITAU;BANCO ITAU;"intext:""BANCO ITAU""";No;No;No;Si;No;No;No;Si;;
BANCO SANTANDER;BANCO SANTANDER;"intext:""BANCO SANTANDER""";Si;No;Si;Si;Si;No;Si;Si;;
BANCO SANTANDER;SANTANDER RÍO;"intext:""SANTANDER RÍO""";Si;No;No;No;No;No;No;No;;
BAYER;BAYER;"intext:""BAYER""";Si;Si;Si;Si;Si;Si;Si;Si;;
BAYER;BAYER CONO SUR;"intext:""BAYER CONO SUR""";Si;Si;Si;Si;Si;No;Si;Si;;
BAYER;CONO SUR;"intext:""CONO SUR""";No;No;No;No;No;Si;No;No;;
BBVA;BBVA;"intext:""BBVA""";Si;No;No;Si;Si;Si;Si;Si;;
BBVA;BANCO FRANCÉS;"intext:""BANCO FRANCÉS""";Si;No;No;No;No;No;No;No;;
BBVA;SCOTIABANK;"intext:""SCOTIABANK""";No;No;No;Si;No;No;No;No;;
BBVA;BANCOMER;"intext:""BANCOMER""";No;No;No;No;No;No;Si;No;;
