company;brand_name;query;argentina;bolivia;brazil;chile;colombia;ecuador;mexico;peru
NESTLE;NESTLE;"intext:""NESTLE"" OR intext:""NESTLÉ""";Si;Si;Si;Si;Si;Si;Si;Si
NESTLE;AFTER EIGHT;"intext:""AFTER EIGHT"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;Si;No;No;No;No;No;No
NESTLE;ACQUA PANNA;"intext:""ACQUA PANNA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;ALMONRIS;"(intext:""ALMONRIS"" OR intext:""ALMON RIS"" OR intext:""ALMON-RIS"" OR intext:""ALMON.RIS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;ALPINO;"(intext:""ALPINO"" AROUND(5) (intext:""chocolate"" OR intext:""chocolates"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;ANCHOR;"(intext:""ANCHOR"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")) OR intext:""leche ANCHOR"" OR intext:""ANCHOR leche""";No;Si;No;No;No;No;No;Si
NESTLE;ANIMALINES Y SALADITAS;"intext:""ANIMALINES Y SALADITAS""";No;Si;No;No;No;No;No;No
NESTLE;BANANITA DOLCA;"intext:""BANANITA DOLCA""";Si;No;No;No;No;No;No;No
NESTLE;BATON;"intext:""BATON"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;BATÓN;"intext:""BATÓN"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;No;No;No
NESTLE;BENEFUL;"intext:""BENEFUL"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No
NESTLE;BESOS DE MOZA;"intext:""BESOS DE MOZA"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;BONO;"(intext:""BONO"" AROUND(3) (intext:""galletitas"" OR intext:""galleta"" OR intext:""galletas"" OR intext:""biscoitos"" OR intext:""biscoito"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;BOOST;"intext:""BOOST"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";Si;No;No;No;No;No;No;No
NESTLE;BUON NATALE;"intext:""BUON NATALE"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;Si;No
NESTLE;CALIPSO;"(intext:""CALIPSO"" AROUND(3) (intext:""galletitas"" OR intext:""galleta"" OR intext:""galletas"" OR intext:""biscoitos"" OR intext:""biscoito"")) AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;CARLOS V;"intext:""CARLOS V"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;Si;No;No
NESTLE;CARNATION;"intext:""CARNATION"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;Si;No;No;No;No;No;No
NESTLE;CAT CHOW;"(intext:""CAT CHOW"" OR intext:""CATCHOW"" OR intext:""CAT-CHOW"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;Si;No;No;No;No;Si;Si
NESTLE;CATCHOW;"intext:""CATCHOW"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"" OR intext:""PURINA"")";No;No;No;No;No;No;Si;No
NESTLE;CEREAL FITNESS;"((intext:""CEREAL"" OR intext:""CEREALES"") AROUND(3) intext:""FITNESS"") AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;CEREAL SUBLIME;"intext:""CEREAL SUBLIME"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;No;No;No;No;No;Si
NESTLE;CEREAVENA;"intext:""CEREAVENA""";No;No;No;No;No;Si;No;No
NESTLE;CERELAC;"intext:""CERELAC""";No;Si;No;No;No;Si;No;Si
NESTLE;CHAMBINHO;"intext:""CHAMBINHO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;No;No;No;No;No
NESTLE;CHAMYTO;"intext:""CHAMYTO"" AND (intext:""NESTLE"" OR intext:""NESTLÉ"")";No;No;Si;Si;No;No;No;No
